mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts,trial_SD,threshold_z
533,NE,Preinduction__ID533_NE__3CT_FP20_3__3CT_Preinduction_C3-Trial____22,Hab,Preinduction,Social_interaction,5.259999999999991,1,0.19011406844106496,11.406844106463897,2.742070577371615,2.742070577371615,2,0.9956162054404711,1.9912324108809423
533,NE,W1__ID533_NE__3CT_FP22_3__3CT_W1_C3-Trial____26,Hab,W1,Social_interaction,3.860000000000003,2,0.5181347150259064,31.08808290155438,4.427800542373443,4.427800542373443,3,1.1378690146646606,2.2757380293293212
533,NE,W2__ID533_NE__3CT_FP18_3__3CT_W2_C3-Trial____20,Hab,W2,Social_interaction,15.100000000000023,5,0.33112582781456906,19.867549668874144,3.0400995656168606,3.1163469494060876,5,0.9766407153813718,1.9532814307627435
541,NE,Preinduction__ID541_NE__3CT_FP23_3__3CT_Preinduction_C3-Trial____25,Hab,Preinduction,Social_interaction,7.980000000000004,1,0.12531328320802,7.5187969924811995,2.631709564299836,2.631709564299836,3,0.9273581102517964,1.8547162205035927
541,NE,W1__ID541_NE__3CT_FP25_3__3CT_W1_C3-Trial____30,Hab,W1,Social_interaction,32.120000000000005,4,0.12453300124533,7.4719800747197995,2.6584934322063303,2.308285679546647,8,1.005622918930406,2.011245837860812
541,NE,W2__ID541_NE__3CT_FP21_3__3CT_W2_C3-Trial____23,Hab,W2,Social_interaction,12.060000000000029,3,0.24875621890547203,14.925373134328321,2.7076078111858144,2.676730156825147,6,0.918610318926243,1.837220637852486
566,NE,Preinduction__ID566_NE__3CT_FP7_3__3CT_Preinduction_C3-Trial_____9,Hab,Preinduction,Social_interaction,37.34,10,0.26780931976432776,16.068559185859666,3.2345808153038917,2.876186556516525,9,1.00194427093578,2.00388854187156
566,NE,W1__ID566_NE__3CT_FP6_3__3CT_W1_C3-Trial_____9,Hab,W1,Social_interaction,39.14000000000003,11,0.2810424118548797,16.862544711292784,2.846277165080199,2.6663831085692635,11,0.9848162910301155,1.969632582060231
566,NE,W2__ID566_NE__3CT_FP6_3__3CT_W2_C3-Trial_____8,Hab,W2,Social_interaction,13.67999999999996,3,0.21929824561403571,13.157894736842144,2.76056914734698,2.440407360643575,6,1.0086056891058899,2.0172113782117798
580,NE,Preinduction__ID580_NE__3CT_FP10_3__3CT_Preinduction_C3-Trial____12,Hab,Preinduction,Social_interaction,13.38000000000001,3,0.22421524663677114,13.452914798206269,3.1050740099899663,2.9270338882453966,3,0.9603647556511368,1.9207295113022735
